id,Id_str,Screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
3327104705,3327104705,censusAmericans,,Tweeting the census one real american at a time. http://t.co/85PJrd9oMH,,9635,0,239,2015-06-15 14:44:07,0,False,13957,en,"Status(favorited=False, lang='en', is_quote_status=False, source_url='http://dataminding.org/', in_reply_to_user_id_str=None, favorite_count=1, text='I got married in 1960. I have a high school diploma. I am married. I work in grocery stores. I work for a private company.', contributors=None, place=None, created_at=datetime.datetime(2017, 3, 13, 17, 0, 1), in_reply_to_status_id_str=None, retweet_count=0, id_str='841333034821550081', in_reply_to_user_id=None, source='censusAmericans', id=841333034821550081, in_reply_to_screen_name=None, in_reply_to_status_id=None, _json={'entities': {'user_mentions': [], 'symbols': [], 'hashtags': [], 'urls': []}, 'lang': 'en', 'is_quote_status': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'favorite_count': 1, 'text': 'I got married in 1960. I have a high school diploma. I am married. I work in grocery stores. I work for a private company.', 'contributors': None, 'created_at': 'Mon Mar 13 17:00:01 +0000 2017', 'place': None, 'retweet_count': 0, 'in_reply_to_screen_name': None, 'in_reply_to_user_id': None, 'source': '<a href=""http://dataminding.org/"" rel=""nofollow"">censusAmericans</a>', 'id': 841333034821550081, 'id_str': '841333034821550081', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'geo': None, 'truncated': False, 'coordinates': None, 'retweeted': False}, _api=<tweepy.api.API object at 0x7fa617f4b0f0>, entities={'user_mentions': [], 'symbols': [], 'hashtags': [], 'urls': []}, truncated=False, coordinates=None, retweeted=False, geo=None)",False,False,False,censusAmericans,1
8.05362305777054E+017,8.05362305777054E+017,_ku_bot,Australia // Sweden,I am an adorable robot made by @HornedLlama. I write haikus.,,15,3,2,2016-12-04 10:45:11,0,False,401,en,"Status(source='Cheap Bots, Done Quick!', created_at=datetime.datetime(2017, 3, 13, 19, 2, 8), source_url='http://cheapbotsdonequick.com', retweet_count=0, contributors=None, favorited=False, lang='en', truncated=False, retweeted=False, entities={'hashtags': [], 'user_mentions': [], 'urls': [], 'symbols': []}, in_reply_to_status_id=None, place=None, _json={'id_str': '841363767334178817', 'created_at': 'Mon Mar 13 19:02:08 +0000 2017', 'retweet_count': 0, 'contributors': None, 'favorited': False, 'lang': 'en', 'truncated': False, 'retweeted': False, 'entities': {'hashtags': [], 'user_mentions': [], 'urls': [], 'symbols': []}, 'in_reply_to_status_id': None, 'place': None, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'text': 'leaves fall for the night\nafternoons softly bleeding\ntwenty-seventeen', 'source': '<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'geo': None, 'coordinates': None, 'favorite_count': 0, 'in_reply_to_status_id_str': None, 'id': 841363767334178817, 'in_reply_to_screen_name': None, 'in_reply_to_user_id': None}, in_reply_to_user_id_str=None, is_quote_status=False, text='leaves fall for the night\nafternoons softly bleeding\ntwenty-seventeen', id_str='841363767334178817', geo=None, coordinates=None, favorite_count=0, in_reply_to_status_id_str=None, id=841363767334178817, in_reply_to_screen_name=None, in_reply_to_user_id=None, _api=<tweepy.api.API object at 0x7f449c85c128>)",False,False,False,Haiku Bot,1
516047986,516047986,pentametron,Stratford-upon-Internet,With algorithms subtle and discrete / I seek iambic writings to retweet.,http://t.co/yk15FkTz2X,23472,2,653,2012-03-06 01:10:57,120,False,59327,en,"Status(favorite_count=0, source_url='http://pentametron.com/', retweeted=False, truncated=False, in_reply_to_user_id_str=None, is_quote_status=False, in_reply_to_status_id=None, id=841361811001683968, _api=<tweepy.api.API object at 0x7f4e5c76d0f0>, retweeted_status=Status(favorite_count=0, source_url='http://twitter.com/download/iphone', retweeted=False, truncated=False, in_reply_to_user_id_str=None, is_quote_status=False, in_reply_to_status_id=None, id=841361775400476673, _api=<tweepy.api.API object at 0x7f4e5c76d0f0>, lang='en', coordinates=None, favorited=False, place=None, entities={'user_mentions': [], 'hashtags': [], 'symbols': [], 'urls': []}, in_reply_to_status_id_str=None, id_str='841361775400476673', in_reply_to_screen_name=None, source='Twitter for iPhone', text='United playing same formation... Jeez.', created_at=datetime.datetime(2017, 3, 13, 18, 54, 13), retweet_count=1, geo=None, in_reply_to_user_id=None, contributors=None, _json={'favorite_count': 0, 'lang': 'en', 'retweeted': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'in_reply_to_status_id': None, 'id': 841361775400476673, 'text': 'United playing same formation... Jeez.', 'contributors': None, 'coordinates': None, 'favorited': False, 'entities': {'user_mentions': [], 'hashtags': [], 'symbols': [], 'urls': []}, 'in_reply_to_status_id_str': None, 'id_str': '841361775400476673', 'in_reply_to_screen_name': None, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'truncated': False, 'created_at': 'Mon Mar 13 18:54:13 +0000 2017', 'retweet_count': 1, 'geo': None, 'in_reply_to_user_id': None, 'place': None}), contributors=None, coordinates=None, favorited=False, place=None, entities={'user_mentions': [{'screen_name': 'ryanlewis79', 'id_str': '3257122037', 'id': 3257122037, 'indices': [3, 15], 'name': 'Ry'}], 'hashtags': [], 'symbols': [], 'urls': []}, in_reply_to_status_id_str=None, id_str='841361811001683968', in_reply_to_screen_name=None, source='Pentametron', text='RT @ryanlewis79: United playing same formation... Jeez.', created_at=datetime.datetime(2017, 3, 13, 18, 54, 22), retweet_count=1, geo=None, in_reply_to_user_id=None, lang='en', _json={'favorite_count': 0, 'lang': 'en', 'retweeted': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'in_reply_to_status_id': None, 'id': 841361811001683968, 'retweeted_status': {'favorite_count': 0, 'lang': 'en', 'retweeted': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'in_reply_to_status_id': None, 'id': 841361775400476673, 'text': 'United playing same formation... Jeez.', 'contributors': None, 'coordinates': None, 'favorited': False, 'entities': {'user_mentions': [], 'hashtags': [], 'symbols': [], 'urls': []}, 'in_reply_to_status_id_str': None, 'id_str': '841361775400476673', 'in_reply_to_screen_name': None, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'truncated': False, 'created_at': 'Mon Mar 13 18:54:13 +0000 2017', 'retweet_count': 1, 'geo': None, 'in_reply_to_user_id': None, 'place': None}, 'text': 'RT @ryanlewis79: United playing same formation... Jeez.', 'contributors': None, 'coordinates': None, 'favorited': False, 'entities': {'user_mentions': [{'screen_name': 'ryanlewis79', 'id_str': '3257122037', 'id': 3257122037, 'indices': [3, 15], 'name': 'Ry'}], 'hashtags': [], 'symbols': [], 'urls': []}, 'in_reply_to_status_id_str': None, 'id_str': '841361811001683968', 'in_reply_to_screen_name': None, 'source': '<a href=""http://pentametron.com/"" rel=""nofollow"">Pentametron</a>', 'truncated': False, 'created_at': 'Mon Mar 13 18:54:22 +0000 2017', 'retweet_count': 1, 'geo': None, 'in_reply_to_user_id': None, 'place': None})",True,False,False,Pentametron,1
4180417402,4180417402,ahouseofdust,,A poetry project created by Alison Knowles and James Tenney and the Siemens 4004 computer in 1967. Twitter version by @hugovk and SSBot for #D004x in 2015.,https://t.co/mAixJrdlV1,107,30,17,2015-11-13 17:42:21,2,False,11151,en-gb,"Status(geo=None, created_at=datetime.datetime(2017, 3, 13, 19, 19, 12), in_reply_to_status_id_str=None, entities={'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, contributors=None, in_reply_to_status_id=None, favorite_count=0, id_str='841368062402154496', _json={'geo': None, 'created_at': 'Mon Mar 13 19:19:12 +0000 2017', 'in_reply_to_screen_name': None, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'contributors': None, 'in_reply_to_status_id': None, 'favorite_count': 0, 'id_str': '841368062402154496', 'text': 'A HOUSE OF WEEDS \n UNDERWATER \n  USING ELECTRICITY \n   INHABITED BY PEOPLE WHO SLEEP ALMOST ALL THE TIME', 'favorited': False, 'retweet_count': 0, 'is_quote_status': False, 'in_reply_to_status_id_str': None, 'lang': 'en', 'in_reply_to_user_id_str': None, 'truncated': False, 'in_reply_to_user_id': None, 'retweeted': False, 'place': None, 'source': '<a href=""https://github.com/hugovk"" rel=""nofollow"">A House of Dust</a>', 'id': 841368062402154496, 'coordinates': None}, text='A HOUSE OF WEEDS \n UNDERWATER \n  USING ELECTRICITY \n   INHABITED BY PEOPLE WHO SLEEP ALMOST ALL THE TIME', favorited=False, retweet_count=0, is_quote_status=False, source_url='https://github.com/hugovk', in_reply_to_screen_name=None, lang='en', in_reply_to_user_id_str=None, truncated=False, in_reply_to_user_id=None, retweeted=False, place=None, source='A House of Dust', id=841368062402154496, coordinates=None, _api=<tweepy.api.API object at 0x7f5f4b6050f0>)",False,False,False,A House of Dust,1
3227013130,3227013130,HaikuMurakami,"New York, NY","“The past increases, the future recedes. Possibilities decreasing, regrets mounting.” Generate your own at https://t.co/sMl8EGHQRa",http://t.co/eQA1t2fVe2,79,0,3,2015-05-01 21:03:06,5,False,4007,en,"Status(contributors=None, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, favorite_count=0, id_str='841323258670698496', coordinates=None, is_quote_status=False, created_at=datetime.datetime(2017, 3, 13, 16, 21, 10), in_reply_to_status_id_str=None, retweet_count=0, favorited=False, in_reply_to_status_id=None, in_reply_to_user_id_str=None, _json={'contributors': None, 'truncated': False, 'favorite_count': 0, 'id_str': '841323258670698496', 'coordinates': None, 'is_quote_status': False, 'created_at': 'Mon Mar 13 16:21:10 +0000 2017', 'in_reply_to_status_id_str': None, 'favorited': False, 'lang': 'en', 'in_reply_to_status_id': None, 'in_reply_to_user_id_str': None, 'geo': None, 'retweet_count': 0, 'place': None, 'source': '<a href=""http://songhia.com"" rel=""nofollow"">HaikuMurakami</a>', 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'in_reply_to_screen_name': None, 'id': 841323258670698496, 'in_reply_to_user_id': None, 'retweeted': False, 'text': 'himself happened knew\nescape sex swallowed silent\nsupermarket walk'}, geo=None, lang='en', place=None, _api=<tweepy.api.API object at 0x7ff8bb3e50f0>, source='HaikuMurakami', truncated=False, in_reply_to_screen_name=None, id=841323258670698496, in_reply_to_user_id=None, retweeted=False, source_url='http://songhia.com', text='himself happened knew\nescape sex swallowed silent\nsupermarket walk')",False,False,False,Haiku Murakami,1
4371859758,4371859758,neuralgae,the loss layer,Flotsam and jetsam from the neural driftnets. A bot by @bombinans,https://t.co/DdAGV5rRP8,18,1,4,2015-11-27 00:13:05,0,False,2585,en,"Status(truncated=False, retweeted=False, in_reply_to_screen_name=None, is_quote_status=False, in_reply_to_status_id_str=None, favorite_count=0, created_at=datetime.datetime(2017, 3, 13, 16, 11, 2), _api=<tweepy.api.API object at 0x7f5a1abad0f0>, in_reply_to_user_id_str=None, id=841320708672233475, contributors=None, lang='en', _json={'truncated': False, 'retweeted': False, 'in_reply_to_screen_name': None, 'is_quote_status': False, 'created_at': 'Mon Mar 13 16:11:02 +0000 2017', 'favorite_count': 0, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id_str': None, 'id': 841320708672233475, 'contributors': None, 'geo': None, 'favorited': False, 'text': 'vacuum an imperfection or power of lawn mower garden spider with a protective modem (from a hat tied by gasmask a https://t.co/LFW7T5q0If', 'possibly_sensitive': False, 'lang': 'en', 'entities': {'symbols': [], 'media': [{'sizes': {'medium': {'h': 224, 'w': 224, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'large': {'h': 224, 'w': 224, 'resize': 'fit'}, 'small': {'h': 224, 'w': 224, 'resize': 'fit'}}, 'media_url_https': 'https://pbs.twimg.com/media/C6z4uYmVsAARMVe.jpg', 'id': 841320706172366848, 'indices': [114, 137], 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/C6z4uYmVsAARMVe.jpg', 'display_url': 'pic.twitter.com/LFW7T5q0If', 'id_str': '841320706172366848', 'url': 'https://t.co/LFW7T5q0If', 'expanded_url': 'https://twitter.com/neuralgae/status/841320708672233475/photo/1'}], 'user_mentions': [], 'hashtags': [], 'urls': []}, 'extended_entities': {'media': [{'sizes': {'medium': {'h': 224, 'w': 224, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'large': {'h': 224, 'w': 224, 'resize': 'fit'}, 'small': {'h': 224, 'w': 224, 'resize': 'fit'}}, 'media_url_https': 'https://pbs.twimg.com/media/C6z4uYmVsAARMVe.jpg', 'id': 841320706172366848, 'indices': [114, 137], 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/C6z4uYmVsAARMVe.jpg', 'display_url': 'pic.twitter.com/LFW7T5q0If', 'id_str': '841320706172366848', 'url': 'https://t.co/LFW7T5q0If', 'expanded_url': 'https://twitter.com/neuralgae/status/841320708672233475/photo/1'}]}, 'id_str': '841320708672233475', 'in_reply_to_user_id': None, 'place': None, 'source': '<a href=""http://neuralgae.mikelynch.org/"" rel=""nofollow"">neuralgae</a>', 'coordinates': None, 'in_reply_to_status_id': None, 'retweet_count': 0}, geo=None, favorited=False, text='vacuum an imperfection or power of lawn mower garden spider with a protective modem (from a hat tied by gasmask a https://t.co/LFW7T5q0If', possibly_sensitive=False, entities={'symbols': [], 'media': [{'sizes': {'medium': {'h': 224, 'w': 224, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'large': {'h': 224, 'w': 224, 'resize': 'fit'}, 'small': {'h': 224, 'w': 224, 'resize': 'fit'}}, 'media_url_https': 'https://pbs.twimg.com/media/C6z4uYmVsAARMVe.jpg', 'id': 841320706172366848, 'indices': [114, 137], 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/C6z4uYmVsAARMVe.jpg', 'display_url': 'pic.twitter.com/LFW7T5q0If', 'id_str': '841320706172366848', 'url': 'https://t.co/LFW7T5q0If', 'expanded_url': 'https://twitter.com/neuralgae/status/841320708672233475/photo/1'}], 'user_mentions': [], 'hashtags': [], 'urls': []}, extended_entities={'media': [{'sizes': {'medium': {'h': 224, 'w': 224, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'large': {'h': 224, 'w': 224, 'resize': 'fit'}, 'small': {'h': 224, 'w': 224, 'resize': 'fit'}}, 'media_url_https': 'https://pbs.twimg.com/media/C6z4uYmVsAARMVe.jpg', 'id': 841320706172366848, 'indices': [114, 137], 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/C6z4uYmVsAARMVe.jpg', 'display_url': 'pic.twitter.com/LFW7T5q0If', 'id_str': '841320706172366848', 'url': 'https://t.co/LFW7T5q0If', 'expanded_url': 'https://twitter.com/neuralgae/status/841320708672233475/photo/1'}]}, id_str='841320708672233475', in_reply_to_user_id=None, in_reply_to_status_id=None, place=None, source='neuralgae', coordinates=None, source_url='http://neuralgae.mikelynch.org/', retweet_count=0)",False,False,False,neuralgae,1
7.30272558952538E+017,7.30272558952538E+017,glossatory,Australah,SOCIAL ON GLOSSATORY: the branch of the considered addered poker by looses - a bot by @bombinans,https://t.co/hcUNcUdlcq,16,1,4,2016-05-11 05:45:20,0,False,1832,en,"Status(in_reply_to_user_id=None, favorited=False, retweeted=False, contributors=None, _json={'in_reply_to_user_id': None, 'favorited': False, 'retweeted': False, 'contributors': None, 'text': ""[editor's note: GLOSSATORY is having technical issues and will return in a few weeks]"", 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'in_reply_to_screen_name': None, 'is_quote_status': False, 'in_reply_to_status_id_str': None, 'coordinates': None, 'truncated': False, 'id': 816030658308894720, 'in_reply_to_status_id': None, 'id_str': '816030658308894720', 'created_at': 'Mon Jan 02 21:17:24 +0000 2017', 'lang': 'en', 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'retweet_count': 0, 'favorite_count': 0, 'place': None, 'in_reply_to_user_id_str': None, 'geo': None}, _api=<tweepy.api.API object at 0x7f47e11820f0>, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, in_reply_to_user_id_str=None, in_reply_to_status_id_str=None, in_reply_to_screen_name=None, is_quote_status=False, truncated=False, coordinates=None, id=816030658308894720, in_reply_to_status_id=None, id_str='816030658308894720', created_at=datetime.datetime(2017, 1, 2, 21, 17, 24), lang='en', source='Twitter Web Client', geo=None, text=""[editor's note: GLOSSATORY is having technical issues and will return in a few weeks]"", favorite_count=0, place=None, source_url='http://twitter.com', retweet_count=0)",False,False,False,GLOSSATORY,1
7.14131965318828E+017,7.14131965318828E+017,tinypoemgen,,"random poem generator

based on Keith Enevoldsen's architecture (https://t.co/s22K3uqs1t) and Amit Agarwal's source code (https://t.co/IJiXo5GR7c)",,18,0,4,2016-03-27 16:48:23,0,False,6232,es,"Status(is_quote_status=False, _json={'is_quote_status': False, 'text': 'the sail emerges like a old island\nadventure, calm, and faith\nthe lively sail quietly searchs the wind\nsharks collapse!', 'id': 841363838738018304, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_screen_name': None, 'source': '<a href=""https://script.google.com/d/11qo4n0yESZeJ4is7Lk8PF3jL299n6e79d5bCrSAz0fkTdvhLJpHennD6/edit?usp=sharing"" rel=""nofollow"">google script poem generator</a>', 'retweeted': False, 'favorited': False, 'geo': None, 'truncated': False, 'retweet_count': 0, 'lang': 'en', 'id_str': '841363838738018304', 'created_at': 'Mon Mar 13 19:02:25 +0000 2017', 'favorite_count': 0, 'entities': {'urls': [], 'hashtags': [], 'user_mentions': [], 'symbols': []}, 'coordinates': None, 'in_reply_to_user_id_str': None, 'contributors': None, 'place': None}, id=841363838738018304, source='google script poem generator', in_reply_to_status_id_str=None, in_reply_to_user_id=None, in_reply_to_screen_name=None, contributors=None, in_reply_to_status_id=None, retweeted=False, entities={'urls': [], 'hashtags': [], 'user_mentions': [], 'symbols': []}, geo=None, favorited=False, truncated=False, retweet_count=0, id_str='841363838738018304', lang='en', favorite_count=0, text='the sail emerges like a old island\nadventure, calm, and faith\nthe lively sail quietly searchs the wind\nsharks collapse!', coordinates=None, source_url='https://script.google.com/d/11qo4n0yESZeJ4is7Lk8PF3jL299n6e79d5bCrSAz0fkTdvhLJpHennD6/edit?usp=sharing', in_reply_to_user_id_str=None, created_at=datetime.datetime(2017, 3, 13, 19, 2, 25), _api=<tweepy.api.API object at 0x7f0bf1b5f0f0>, place=None)",False,False,False,tiny poems,1
3337061638,3337061638,YouLookNiceBot,This Very World,A quite abstract complimentary bot made by @TRASEVOL_DOG with @v21's http://t.co/XpDujaprri.,https://t.co/bq005Hz0eF,1645,1893,14,2015-06-20 14:42:40,6,False,5024,en,"Status(contributors=None, retweeted=False, place=None, entities={'user_mentions': [], 'urls': [], 'symbols': [], 'hashtags': []}, text='Your self smells like it was painted by universes.', in_reply_to_screen_name=None, in_reply_to_user_id=None, truncated=False, source_url='http://cheapbotsdonequick.com', in_reply_to_status_id=None, id_str='841357005583482881', geo=None, favorite_count=0, _api=<tweepy.api.API object at 0x7fd491c3f0f0>, source='Cheap Bots, Done Quick!', retweet_count=1, in_reply_to_status_id_str=None, _json={'contributors': None, 'lang': 'en', 'entities': {'user_mentions': [], 'urls': [], 'symbols': [], 'hashtags': []}, 'text': 'Your self smells like it was painted by universes.', 'in_reply_to_screen_name': None, 'in_reply_to_user_id': None, 'favorited': False, 'geo': None, 'in_reply_to_status_id': None, 'id_str': '841357005583482881', 'favorite_count': 0, 'id': 841357005583482881, 'truncated': False, 'source': '<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'retweet_count': 1, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id_str': None, 'created_at': 'Mon Mar 13 18:35:16 +0000 2017', 'coordinates': None, 'is_quote_status': False, 'place': None, 'retweeted': False}, favorited=False, coordinates=None, is_quote_status=False, lang='en', in_reply_to_user_id_str=None, id=841357005583482881, created_at=datetime.datetime(2017, 3, 13, 18, 35, 16))",False,False,False,You Look Nice,1
3045203078,3045203078,colorschemez,,I'm trying to find colors that go well together. I'm probably not very good at it because I'm a robot with no sense of style. (a bot by @joemfox),,18773,0,251,2015-02-27 02:48:24,0,False,18293,en,"Status(text='traceried violet blue\nbenthic clay brown\ntuitional celery https://t.co/mpcl3XDAwn', retweet_count=3, in_reply_to_user_id=None, place=None, favorited=False, contributors=None, id=841362639603212288, _api=<tweepy.api.API object at 0x7f5e6bc640f0>, favorite_count=10, source_url='http://joemfox.com', in_reply_to_user_id_str=None, truncated=False, possibly_sensitive=False, in_reply_to_status_id_str=None, created_at=datetime.datetime(2017, 3, 13, 18, 57, 39), extended_entities={'media': [{'url': 'https://t.co/mpcl3XDAwn', 'type': 'photo', 'expanded_url': 'https://twitter.com/colorschemez/status/841362639603212288/photo/1', 'id_str': '841362637749280768', 'sizes': {'small': {'w': 512, 'h': 512, 'resize': 'fit'}, 'large': {'w': 512, 'h': 512, 'resize': 'fit'}, 'medium': {'w': 512, 'h': 512, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'media_url': 'http://pbs.twimg.com/media/C60e3H5U4AADD11.jpg', 'indices': [58, 81], 'display_url': 'pic.twitter.com/mpcl3XDAwn', 'media_url_https': 'https://pbs.twimg.com/media/C60e3H5U4AADD11.jpg', 'id': 841362637749280768}]}, retweeted=False, is_quote_status=False, id_str='841362639603212288', source='Joe Fox Bots', lang='en', coordinates=None, in_reply_to_screen_name=None, _json={'text': 'traceried violet blue\nbenthic clay brown\ntuitional celery https://t.co/mpcl3XDAwn', 'retweet_count': 3, 'in_reply_to_user_id': None, 'place': None, 'favorited': False, 'id': 841362639603212288, 'contributors': None, 'in_reply_to_user_id_str': None, 'retweeted': False, 'favorite_count': 10, 'created_at': 'Mon Mar 13 18:57:39 +0000 2017', 'is_quote_status': False, 'possibly_sensitive': False, 'in_reply_to_status_id_str': None, 'extended_entities': {'media': [{'url': 'https://t.co/mpcl3XDAwn', 'type': 'photo', 'expanded_url': 'https://twitter.com/colorschemez/status/841362639603212288/photo/1', 'id_str': '841362637749280768', 'sizes': {'small': {'w': 512, 'h': 512, 'resize': 'fit'}, 'large': {'w': 512, 'h': 512, 'resize': 'fit'}, 'medium': {'w': 512, 'h': 512, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'media_url': 'http://pbs.twimg.com/media/C60e3H5U4AADD11.jpg', 'indices': [58, 81], 'display_url': 'pic.twitter.com/mpcl3XDAwn', 'media_url_https': 'https://pbs.twimg.com/media/C60e3H5U4AADD11.jpg', 'id': 841362637749280768}]}, 'id_str': '841362639603212288', 'truncated': False, 'coordinates': None, 'source': '<a href=""http://joemfox.com"" rel=""nofollow"">Joe Fox Bots</a>', 'lang': 'en', 'in_reply_to_screen_name': None, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'media': [{'url': 'https://t.co/mpcl3XDAwn', 'type': 'photo', 'expanded_url': 'https://twitter.com/colorschemez/status/841362639603212288/photo/1', 'id_str': '841362637749280768', 'sizes': {'small': {'w': 512, 'h': 512, 'resize': 'fit'}, 'large': {'w': 512, 'h': 512, 'resize': 'fit'}, 'medium': {'w': 512, 'h': 512, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'media_url': 'http://pbs.twimg.com/media/C60e3H5U4AADD11.jpg', 'indices': [58, 81], 'display_url': 'pic.twitter.com/mpcl3XDAwn', 'media_url_https': 'https://pbs.twimg.com/media/C60e3H5U4AADD11.jpg', 'id': 841362637749280768}], 'urls': []}, 'in_reply_to_status_id': None, 'geo': None}, entities={'hashtags': [], 'symbols': [], 'user_mentions': [], 'media': [{'url': 'https://t.co/mpcl3XDAwn', 'type': 'photo', 'expanded_url': 'https://twitter.com/colorschemez/status/841362639603212288/photo/1', 'id_str': '841362637749280768', 'sizes': {'small': {'w': 512, 'h': 512, 'resize': 'fit'}, 'large': {'w': 512, 'h': 512, 'resize': 'fit'}, 'medium': {'w': 512, 'h': 512, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'media_url': 'http://pbs.twimg.com/media/C60e3H5U4AADD11.jpg', 'indices': [58, 81], 'display_url': 'pic.twitter.com/mpcl3XDAwn', 'media_url_https': 'https://pbs.twimg.com/media/C60e3H5U4AADD11.jpg', 'id': 841362637749280768}], 'urls': []}, in_reply_to_status_id=None, geo=None)",False,False,False,colorschemer,1
